file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\segment\data\BitmapSerde.java,org.apache.druid.segment.data.BitmapSerde$LegacyBitmapSerdeFactory,innerclass,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,9,0
E:\Git_Projects\druid\sql\src\main\java\org\apache\druid\sql\calcite\planner\DruidTypeSystem.java,org.apache.druid.sql.calcite.planner.DruidTypeSystem,class,7,8,1,7,22,1,0,17,134,0.96078426,0.008333334,0.008333334,17,0,16,1,0,0,16,0,0,0,3,3,3,0,0,0,3,0,3,71,19,0,2,0,0,0,1,3,0,3,1,0,0,0,68,1,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\frame\read\columnar\LongFrameColumnReader.java,org.apache.druid.frame.read.columnar.LongFrameColumnReader$LongFrameColumn,innerclass,15,15,0,15,16,3,0,8,40,0.71666664,0.16666667,0.16666667,12,0,9,3,0,0,9,0,0,0,5,0,0,5,0,0,5,0,1,115,11,0,1,0,0,1,3,7,5,7,1,1,1,0,45,10,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\segment\index\semantic\ValueSetIndexes.java,org.apache.druid.segment.index.semantic.ValueSetIndexes$Anonymous5$Anonymous6,anonymous,4,4,0,4,9,1,0,6,0,0.33333334,1.0,1.0,3,0,2,1,0,0,2,0,0,0,2,0,0,0,0,2,1,0,0,27,2,1,0,0,0,0,7,6,0,4,2,0,0,0,15,-1,0
E:\Git_Projects\druid\extensions-contrib\cloudfiles-extensions\src\main\java\org\apache\druid\storage\cloudfiles\CloudFilesStorageDruidModule.java,org.apache.druid.storage.cloudfiles.CloudFilesStorageDruidModule,class,14,15,1,14,4,1,0,18,0,0.33333334,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,2,1,1,0,0,2,0,0,44,2,0,0,0,0,10,0,6,0,5,1,1,0,0,39,1,7
E:\Git_Projects\druid\extensions-core\multi-stage-query\src\test\java\org\apache\druid\msq\exec\MSQArraysTest.java,org.apache.druid.msq.exec.MSQArraysTest,class,21,22,1,21,25,3,0,69,175,0.6969697,0.13333334,0.13333334,22,1,21,1,0,0,21,0,0,0,3,0,0,3,0,0,0,0,108,138,2,0,0,0,0,433,362,50,24,50,1,0,0,0,154,1,0
E:\Git_Projects\druid\server\src\main\java\org\apache\druid\server\coordination\CuratorDataSegmentServerAnnouncer.java,org.apache.druid.server.coordination.CuratorDataSegmentServerAnnouncer,class,8,10,2,8,7,1,0,9,0,0.39285713,1.0,1.0,4,0,3,1,0,0,3,0,0,0,7,1,0,7,0,0,6,0,0,45,3,0,0,1,0,2,0,11,0,9,2,0,0,0,35,1,2
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\metadata\MetadataCASUpdate.java,org.apache.druid.metadata.MetadataCASUpdate,class,1,3,2,1,7,1,0,0,9,0.7142858,0.2857143,1.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,6,0,0,34,6,0,0,0,0,0,0,6,0,6,0,0,0,0,28,1,0
E:\Git_Projects\druid\indexing-service\src\main\java\org\apache\druid\indexing\common\task\MoveTask.java,org.apache.druid.indexing.common.task.MoveTask,class,18,20,2,18,9,3,0,16,4,0.6,0.3,0.3,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,2,0,1,32,4,2,1,0,0,11,1,5,0,5,2,0,0,0,53,1,1
E:\Git_Projects\druid\indexing-service\src\main\java\org\apache\druid\indexing\seekablestream\SeekableStreamIndexTaskIOConfig.java,org.apache.druid.indexing.seekablestream.SeekableStreamIndexTaskIOConfig,class,11,22,11,11,11,1,0,10,25,0.8000001,0.22222222,1.0,10,0,9,1,0,0,9,0,0,0,9,1,0,9,0,0,9,0,0,50,9,0,1,0,0,6,0,9,0,9,0,0,0,0,57,1025,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\query\aggregation\first\LongFirstAggregatorFactory.java,org.apache.druid.query.aggregation.first.LongFirstAggregatorFactory,class,28,31,3,28,35,2,0,20,117,0.81366456,0.26877472,0.3083004,23,0,23,0,0,0,23,0,0,0,7,4,2,5,0,0,7,0,3,135,31,0,8,0,6,14,1,19,5,18,1,2,0,0,94,1,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\query\metadata\SegmentMetadataQueryRunnerFactory.java,org.apache.druid.query.metadata.SegmentMetadataQueryRunnerFactory$Anonymous1,anonymous,14,14,0,14,20,1,0,35,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,73,1,2,9,0,1,0,1,27,1,15,3,0,0,0,40,-1,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\query\metadata\SegmentMetadataQueryRunnerFactory.java,org.apache.druid.query.metadata.SegmentMetadataQueryRunnerFactory$Anonymous2,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-1,0
E:\Git_Projects\druid\sql\src\main\java\org\apache\druid\sql\calcite\planner\NoOpPlannerHook.java,org.apache.druid.sql.calcite.planner.NoOpPlannerHook,class,7,8,1,7,6,1,0,0,15,1.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,1,1,0,0,0,1,0,0,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,29,1,0
E:\Git_Projects\druid\processing\src\test\java\org\apache\druid\data\input\impl\RetryingInputStreamTest.java,org.apache.druid.data.input.impl.RetryingInputStreamTest$TestInputStream,innerclass,4,4,0,4,10,3,0,6,4,0.4,0.16666667,0.16666667,5,0,3,1,0,1,4,0,0,0,1,0,0,1,0,0,0,0,1,41,3,0,0,0,0,2,6,7,1,5,2,0,0,0,29,2,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\segment\QueryableIndexColumnSelectorFactory.java,org.apache.druid.segment.QueryableIndexColumnSelectorFactory,class,18,22,4,18,19,1,0,28,0,0.5238095,0.6,0.6666667,7,0,6,1,0,0,6,0,0,0,6,0,0,5,1,0,6,0,2,96,14,0,6,0,2,0,0,22,0,18,3,0,0,1,58,1,0
